fov_path,Microscope,channel488,channel546,channel647,plate_name,Cell line,Cell age
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 27,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 28,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 29,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 3,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 30,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 4,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 5,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 6,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 7,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 8,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 9,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 1,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 10,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 11,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 12,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 13,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 14,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 15,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 16,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 17,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 18,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 19,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 2,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 20,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 21,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 22,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 23,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 24,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 25,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 26,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 27,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 28,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 29,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 3,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 30,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 4,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 5,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 6,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 7,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 8,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 9,3i,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 1,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 10,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 11,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 12,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 13,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 14,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 15,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 16,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 17,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 18,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 19,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 2,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 20,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 21,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 22,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 23,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 24,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 25,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 26,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 27,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 28,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 29,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 3,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 30,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 4,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 5,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 6,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 7,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 8,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 9,3i,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 1,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 10,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 11,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 12,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 13,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 14,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 15,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 16,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 17,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 18,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 19,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 2,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 20,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 21,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 22,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 23,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 24,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 25,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 26,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 27,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 28,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 29,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 3,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 30,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 4,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 5,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 6,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 7,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 8,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 9,3i,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 1,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 10,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 11,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 12,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 13,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 14,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 15,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 16,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 17,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 18,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 19,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 2,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 20,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 21,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 22,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 23,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 24,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 25,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 26,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 27,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 28,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 29,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 3,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 30,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 4,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 5,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C5 [144] Montage - 6,3i,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18
